GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
747936947,20180416,201804,2018,2018.2904,SYR,SYRIA,SYR,,,,,,,,USA,WASHINGTON,USA,,,,,,,,1,010,010,01,1,0.0,10,1,10,-5.29411764705882,1,Belarus,BO,BO,,53.0,28.0,BO,1,Syria,SY,SY,,35.0,38.0,SY,1,Syria,SY,SY,,35.0,38.0,SY,20180416070000,https://www.yeniakit.com.tr/haber/suriyeden-uc-seyi-basarmadan-cikmayacagiz-449077.html
747935938,20180416,201804,2018,2018.2904,,,,,,,,,,,CVL,MIGRANT,,,,,,CVL,,,0,138,138,13,3,-7.0,6,1,6,-1.43927679314857,0,,,,,,,,1,Syria,SY,SY,,35.0,38.0,SY,1,Syria,SY,SY,,35.0,38.0,SY,20180416070000,https://www.augsburger-allgemeine.de/politik/Weniger-als-ein-Drittel-Frauenanteil-in-der-Bundesregierung-waechst-kaum-id42915776.html
747936913,20180416,201804,2018,2018.2904,SYR,SYRIA,SYR,,,,,,,,DEUGOV,ANGELA MERKEL,DEU,,,,,GOV,,,0,111,111,11,3,-2.0,2,1,2,-1.43927679314857,1,Syria,SY,SY,,35.0,38.0,SY,1,Syria,SY,SY,,35.0,38.0,SY,1,Syria,SY,SY,,35.0,38.0,SY,20180416070000,https://www.augsburger-allgemeine.de/politik/Weniger-als-ein-Drittel-Frauenanteil-in-der-Bundesregierung-waechst-kaum-id42915776.html
747936331,20180416,201804,2018,2018.2904,FRAGOV,FRENCH,FRA,,,,,GOV,,,SYR,SYRIAN,SYR,,,,,,,,1,0874,087,08,2,10.0,6,1,6,-4.0,1,Syria,SY,SY,,35.0,38.0,SY,1,Syria,SY,SY,,35.0,38.0,SY,1,Syria,SY,SY,,35.0,38.0,SY,20180416070000,https://www.zdf.de/nachrichten/heute/us-truppen-in-syrien-trump-will-schnell-wieder-abziehen-100.html
747936346,20180416,201804,2018,2018.2904,GBR,UNITED KINGDOM,GBR,,,,,,,,SAU,SAUDI ARABIA,SAU,,,,,,,,1,046,046,04,1,7.0,2,1,2,-7.80487804878049,1,United Kingdom,UK,UK,,54.0,-4.0,UK,1,Saudi Arabia,SA,SA,,25.0,45.0,SA,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20180416070000,http://botasot.info/azia-bota/872313/liga-arabe-kerkon-hetim-per-sulmin-e-dyshuar-kimik-ne-siria/
747936316,20180416,201804,2018,2018.2904,FRA,FRANCE,FRA,,,,,,,,SAU,SAUDI ARABIA,SAU,,,,,,,,1,046,046,04,1,7.0,2,1,2,-7.80487804878049,1,United Kingdom,UK,UK,,54.0,-4.0,UK,1,Saudi Arabia,SA,SA,,25.0,45.0,SA,4,"Tehran, Tehran, Iran",IR,IR26,41130,35.75,51.5148,10074674,20180416070000,http://botasot.info/azia-bota/872313/liga-arabe-kerkon-hetim-per-sulmin-e-dyshuar-kimik-ne-siria/
747936270,20180416,201804,2018,2018.2904,ESP,SPAIN,ESP,,,,,,,,PRTGOV,PORTUGAL,PRT,,,,,GOV,,,1,036,036,03,1,4.0,8,1,8,-2.59138797319175,4,"Salamanca, Castilla y LeóP, Spain",SP,SP55,25796,40.9681,-5.66202,-400105,1,Portugal,PO,PO,,39.5,-8.0,PO,4,"Salamanca, Castilla y LeóP, Spain",SP,SP55,25796,40.9681,-5.66202,-400105,20180416070000,http://www.diariosigloxxi.com/texto-ep/mostrar/20180416070650/directora-apoyo-victimas-terrorismo-acudira-hoy-juicio-agresion-guardias-civiles-alsasua
747936268,20180416,201804,2018,2018.2904,ESP,SPAIN,ESP,,,,,,,,PRT,PORTUGUESE,PRT,,,,,,,,1,036,036,03,1,4.0,2,1,2,1.10974106041923,4,"Salamanca, Castilla y LeóP, Spain",SP,SP55,25796,40.9681,-5.66202,-400105,1,Portugal,PO,PO,,39.5,-8.0,PO,1,Portugal,PO,PO,,39.5,-8.0,PO,20180416070000,http://www.diariosigloxxi.com/texto-ep/mostrar/20180416065736/presidente-portugues-sera-recibido-rey-rajoy-viajara-salamanca-visita-estado-espana
747936634,20180416,201804,2018,2018.2904,MAR,MOROCCO,MAR,,,,,,,,RUS,RUSSIAN,RUS,,,,,,,,1,010,010,01,1,0.0,8,1,8,-1.66919575113808,1,Russia,RS,RS,,60.0,100.0,RS,1,Mali,ML,ML,,17.0,-4.0,ML,1,Mali,ML,ML,,17.0,-4.0,ML,20180416070000,http://maliactu.net/exportations-de-ble-la-france-peine-a-reconquerir-lafrique/
747936586,20180416,201804,2018,2018.2904,JUD,PUBLIC PROSECUTOR,,,,,,JUD,,,COP,PRISON,,,,,,COP,,,0,042,042,04,1,1.9,6,1,6,-3.63636363636363,4,"Carme, Comunidad Autonoma de Cataluna, Spain",SP,SP56,25809,41.532,1.62074,-376211,4,"Carme, Comunidad Autonoma de Cataluna, Spain",SP,SP56,25809,41.532,1.62074,-376211,4,"Carme, Comunidad Autonoma de Cataluna, Spain",SP,SP56,25809,41.532,1.62074,-376211,20180416070000,http://www.diariosigloxxi.com/texto-s/mostrar/276155/cataluna-procesados-proces-prestan-declaracion-indagatoria-supremo-audiencia-nacional
